POD/p,ap obs 1,ap obs 5,ap obs 9,ap obs 13,ap obs 17
1.035678391959798939e-01,2.152483152002369893e-01,2.435510580297009231e-01,2.637753247023259529e-01,2.782269615952581709e-01,2.885536553768354717e-01
1.084924623115577913e-01,2.173624280869614067e-01,2.450617378622094999e-01,2.648548098947577367e-01,2.789983284035012501e-01,2.891048502955159138e-01
1.134170854271356749e-01,2.194085807266495936e-01,2.465238553992727122e-01,2.658995939693776789e-01,2.797448988637475931e-01,2.896383265090723969e-01
1.183417085427135723e-01,2.213923102133302512e-01,2.479413672774223310e-01,2.669125042165593764e-01,2.804686932704547608e-01,2.901555276575830677e-01
1.232663316582914559e-01,2.233185042866120962e-01,2.493177661245590815e-01,2.678960363604266370e-01,2.811714949910697481e-01,2.906577280803950836e-01
1.281909547738693533e-01,2.251915004127797437e-01,2.506561513602463265e-01,2.688524051505590817e-01,2.818548866173002931e-01,2.911460586487080171e-01
1.331155778894472508e-01,2.270151665635960769e-01,2.519592869177497696e-01,2.697835856083800055e-01,2.825202794385113791e-01,2.916215278263529775e-01
1.380402010050251482e-01,2.287929676198155460e-01,2.532296486939387137e-01,2.706913469333922517e-01,2.831689376700743943e-01,2.920850389826239457e-01
1.429648241206030179e-01,2.305280203749927037e-01,2.544694638533107067e-01,2.715772805886208507e-01,2.838019985223584341e-01,2.925374047329590277e-01
1.478894472361809154e-01,2.322231394188213893e-01,2.556807436148095247e-01,2.724428237290618116e-01,2.844204889419765792e-01,2.929793589017189448e-01
1.528140703517588128e-01,2.338808756634308539e-01,2.568653107815279668e-01,2.732892788735578615e-01,2.850253396687012497e-01,2.934115665668247108e-01
1.577386934673367103e-01,2.355035488897222473e-01,2.580248229973151064e-01,2.741178305232528922e-01,2.856173971104991605e-01,2.938346325452911856e-01
1.626633165829145800e-01,2.370932753984549002e-01,2.591607925053898143e-01,2.749295592804868460e-01,2.861974334324575708e-01,2.942491086024627278e-01
1.675879396984924774e-01,2.386519916274032760e-01,2.602746030244318942e-01,2.757254539079302402e-01,2.867661551738701631e-01,2.946554996095164247e-01
1.725125628140703749e-01,2.401814744236852595e-01,2.613675242345627203e-01,2.765064216798185370e-01,2.873242106449092614e-01,2.950542688288961823e-01
1.774371859296482445e-01,2.416833585264812623e-01,2.624407242699565157e-01,2.772732973087869146e-01,2.878721963054667321e-01,2.954458424724354937e-01
1.823618090452261420e-01,2.431591517104571554e-01,2.634952805398633191e-01,2.780268506782391791e-01,2.884106622904663575e-01,2.958306136495750249e-01
1.872864321608040394e-01,2.446102479574031319e-01,2.645321891406555159e-01,2.787677935679059860e-01,2.889401172157398112e-01,2.962089458014934285e-01
1.922110552763819369e-01,2.460379389577852516e-01,2.655523730744817623e-01,2.794967855266412005e-01,2.894610323745459568e-01,2.965811756998106286e-01
1.971356783919598066e-01,2.474434241912523980e-01,2.665566894524861175e-01,2.802144390196199542e-01,2.899738454155998402e-01,2.969476160747935300e-01
2.020603015075377040e-01,2.488278197927545621e-01,2.675459358302627044e-01,2.809213239554592678e-01,2.904789635780131718e-01,2.973085579269449941e-01
2.069849246231156015e-01,2.501921663766079607e-01,2.685208557986910050e-01,2.816179716812561851e-01,2.909767665460254449e-01,2.976642725669064737e-01
2.119095477386934712e-01,2.515374359628976264e-01,2.694821439333296986e-01,2.823048785192720511e-01,2.914676089762092692e-01,2.980150134213208624e-01
2.168341708542713686e-01,2.528645381277351278e-01,2.704304501892008106e-01,2.829825089073095823e-01,2.919518227414871214e-01,2.983610176363378219e-01
2.217587939698492661e-01,2.541743254800757912e-01,2.713663838143544060e-01,2.836512981952254431e-01,2.924297189294327026e-01,2.987025075055380618e-01
2.266834170854271635e-01,2.554675985522477100e-01,2.722905168444895718e-01,2.843116551420786231e-01,2.929015896266563002e-01,2.990396917450002801e-01
2.316080402010050332e-01,2.567451101784357093e-01,2.732033872316843026e-01,2.849639641518240674e-01,2.933677095163623738e-01,2.993727666348662830e-01
2.365326633165829306e-01,2.580075694245975160e-01,2.741055016525918431e-01,2.856085872799635217e-01,2.938283373122402287e-01,2.997019170439552127e-01
2.414572864321608281e-01,2.592556451242751803e-01,2.749973380350228536e-01,2.862458660389627374e-01,2.942837170485596565e-01,3.000273173516260217e-01
2.463819095477386978e-01,2.604899690671907964e-01,2.758793478364172658e-01,2.868761230263773276e-01,2.947340792435795276e-01,3.003491322791130846e-01
2.513065326633165952e-01,2.617111388811199091e-01,2.767519581031420151e-01,2.874996633963636805e-01,2.951796419510434588e-01,3.006675176408931671e-01
2.562311557788944927e-01,2.629197206421258759e-01,2.776155733356844291e-01,2.881167761924880444e-01,2.956206117125647626e-01,3.009826210252297130e-01
2.611557788944723901e-01,2.641162512436378007e-01,2.784705771815216835e-01,2.887277355573991677e-01,2.960571844220209470e-01,3.012945824118427596e-01
2.660804020100502876e-01,2.653012405509334037e-01,2.793173339746479744e-01,2.893328018329269224e-01,2.964895461116500153e-01,3.016035347336291639e-01
2.710050251256281850e-01,2.664751733642362619e-01,2.801561901383434194e-01,2.899322225624574312e-01,2.969178736683172337e-01,3.019096043884844094e-01
2.759296482412060270e-01,2.676385112107582120e-01,2.809874754657119000e-01,2.905262334059661167e-01,2.973423354873691027e-01,3.022129117065269766e-01
2.808542713567839244e-01,2.687916939835450769e-01,2.818115042907499701e-01,2.911150589768274899e-01,2.977630920705919282e-01,3.025135713773806079e-01
2.857788944723618219e-01,2.699351414428469709e-01,2.826285765611796785e-01,2.916989136084278678e-01,2.981802965740099065e-01,3.028116928416141329e-01
2.907035175879397193e-01,2.710692545938878650e-01,2.834389788229599305e-01,2.922780020576675186e-01,2.985940953105856166e-01,3.031073806499558487e-01
2.956281407035176167e-01,2.721944169533070390e-01,2.842429851252467610e-01,2.928525201516167797e-01,2.990046282123008381e-01,3.034007347934818410e-01
3.005527638190955142e-01,2.733109957151507730e-01,2.850408578535750248e-01,2.934226553828823136e-01,2.994120292555866314e-01,3.036918510076156985e-01
3.054773869346734116e-01,2.744193428260804368e-01,2.858328484981687012e-01,2.939885874586177783e-01,2.998164268536296917e-01,3.039808210524580501e-01
