POD/p,ap95 obs 1,ap95 obs 5,ap95 obs 9,ap95 obs 13,ap95 obs 17
4.679899497487437499e-01,3.213627949151726670e-01,3.232347374760778935e-01,3.245699617831202533e-01,3.255214347130855335e-01,3.261996084709565813e-01
4.729145728643216473e-01,3.223660907658280061e-01,3.239495632724416208e-01,3.250792945362389053e-01,3.258846446714523948e-01,3.264588676448159088e-01
4.778391959798995448e-01,3.233696723449547283e-01,3.246649112448898866e-01,3.255892202124093804e-01,3.262483848644371909e-01,3.267185396894428107e-01
4.827638190954773867e-01,3.243736838174891557e-01,3.253808839030477573e-01,3.260998119954473529e-01,3.266127077670364920e-01,3.269786623162854178e-01
4.876884422110552841e-01,3.253782691269646032e-01,3.260975836934335570e-01,3.266111431152266542e-01,3.269776659567362187e-01,3.272392733504206896e-01
4.926130653266331816e-01,3.263835721554407265e-01,3.268151131132549514e-01,3.271232869280895073e-01,3.273433121702746251e-01,3.275004107708187062e-01
4.975376884422110790e-01,3.273897368826941268e-01,3.275335748239269762e-01,3.276363169972565381e-01,3.277096993605302933e-01,3.277621127507658882e-01
5.024623115577889765e-01,3.283969075451093622e-01,3.282530717646227059e-01,3.281503071734555577e-01,3.280768807536909581e-01,3.280244176985595561e-01
5.073869346733668184e-01,3.294052287947069058e-01,3.289737072661645945e-01,3.286653316759886589e-01,3.284449099068595945e-01,3.282873642985846274e-01
5.123115577889447714e-01,3.304148458587451986e-01,3.296955851655674063e-01,3.291814651744596754e-01,3.288138407662555829e-01,3.285509915528855851e-01
5.172361809045226133e-01,3.314259047003360603e-01,3.304188099215448760e-01,3.296987828713839330e-01,3.291837277261713823e-01,3.288153388233485686e-01
5.221608040201005663e-01,3.324385521805167665e-01,3.311434867312966768e-01,3.302173605859085037e-01,3.295546256888481906e-01,3.290804458746116601e-01
